,question_id,dtypes,unique_values,first_row_value,question_category,description
50,C1e,float64,7,1.0,ethical_behaviour,My co-workers demonstrate honesty and integrity in the workplace
51,C1f,float64,7,1.0,ethical_behaviour,Confidential information in my workplace is only disclosed to appropriate people
52,C1g,float64,7,1.0,ethical_behaviour,Purchasing decisions in my  workplace are not influenced by gifts or incentives
53,C2,float64,2,1.0,misc,Are you familiar with the Public Sector Code of Ethics?
54,C3,float64,2,1.0,misc,Are you familiar with your agency code of conduct?
55,C4a,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Unprofessional conduct (e.g. bullying, inappropriate language)"
56,C4b,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Failure to manage conflicts of interest (e.g. conflict between public role and personal interests)"
57,C4c,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Inappropriate acceptance or provision of gifts or benefits"
58,C4d,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Corrupt behaviour (e.g. employees misusing their position to obtain an inappropriate benefit or cause detriment)"
59,C4e,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Improper use of work computers, internet or email (e.g. viewing or sharing inappropriate or illegal online content)"
60,C4f,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Discrimination or harassment (e.g. racial discrimination, sexual harassment)"
61,C4g,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Illicit drug use and/or alcohol intoxication"
62,C4h,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Inappropriate physical behaviour (e.g. assault, indecent behaviour)"
63,C4i,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Inappropriate access to or use of confidential information or unauthorised disclosure of information"
64,C4j,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Workplace bribes or theft (e.g. computers, cash or workplace equipment)"
65,C4k,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Misuse of public resources (e.g. unauthorised use of vehicles, misuse of corporate credit card)"
66,C4l,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Fraudulent behaviour or falsification of information or records"
67,C4m,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Neglect of duty (e.g. intentionally failing to perform work duties)"
68,C4n,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Engaging in criminal behaviour outside work"
69,C4o,float64,5,1.0,ethical_behaviour_at_workplace,"Have you witnessed any of the following types of unethical behaviour in your workplace in the last 12 months, and if so how often?: Secretly holding another job outside government without agency permission"
70,C4ii,float64,4,,misc,"If you have witnessed unethical behaviour in your workplace, did you report it?"
71,C5,float64,2,,misc,Do you know how to report unethical behavior in your workplace?
72,C6,float64,3,2.0,misc,"During the past 12 months, have you been subjected to repeated bullying in your workplace?"
73,C7,float64,2,1.0,misc,Do you know how to report bullying in your workplace?
74,C8,float64,3,3.0,misc,Are you aware of the PID Act and how to make a disclosure?
75,D1,float64,2,1.0,further_information,What is your gender?
76,D3,float64,2,2.0,further_information,What is the highest level of formal education you have completed?
77,D8,float64,5,3.0,further_information,What is your current total annual gross salary (before tax)?
78,D14,float64,2,2.0,further_information,"Are you employed in one of the top four levels of management in your agency’s organisational hierarchy (e.g. General Manager, Executive Director, Chief Executive Officer)?"
79,AgencySize,int64,3,3.0,agency_size,Size of agency (headcount)
